テーブル名（日本語）,テーブル名（英語）,カラム名（日）,カラム名（英）,仮説,分析シナリオ,説明文,具体的手続,TGDScript
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",出荷日が未来日になっている,出荷データにおいて、出荷日が未来日になっているケースを抽出して内容を確認する,出荷日が未来日になっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日」を用いて「出荷日が未来日になっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",出荷日と売上日が大きく乖離している（例：1ヶ月以上）,出荷データにおいて、出荷日と売上日が大きく乖離している（例：1ヶ月以上）ケースを抽出して内容を確認する,出荷日と売上日が大きく乖離している（例：1ヶ月以上）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日」を用いて「出荷日と売上日が大きく乖離している（例：1ヶ月以上）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",出荷番号が前月と比較して大幅に増加または減少している,出荷データにおいて、出荷番号が前月と比較して大幅に増加または減少しているケースを抽出して内容を確認する,出荷番号が前月と比較して大幅に増加または減少している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷番号」を用いて「出荷番号が前月と比較して大幅に増加または減少している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",出荷番号が連番になっていない（欠番あり）,出荷データにおいて、出荷番号が連番になっていない（欠番あり）ケースを抽出して内容を確認する,出荷番号が連番になっていない（欠番あり）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷番号」を用いて「出荷番号が連番になっていない（欠番あり）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",出荷番号が重複している,出荷データにおいて、出荷番号が重複しているケースを抽出して内容を確認する,出荷番号が重複している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷番号」を用いて「出荷番号が重複している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",出荷番号の形式が不統一（桁数やプレフィックス）,出荷データにおいて、出荷番号の形式が不統一（桁数やプレフィックス）ケースを抽出して内容を確認する,出荷番号の形式が不統一（桁数やプレフィックス）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷番号」を用いて「出荷番号の形式が不統一（桁数やプレフィックス）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",同じ日に同じ得意先に対する出荷が異常に多い,出荷データにおいて、同じ日に同じ得意先に対する出荷が異常に多いケースを抽出して内容を確認する,同じ日に同じ得意先に対する出荷が異常に多い場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「同じ日に同じ得意先に対する出荷が異常に多い」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",同じ配送業者で1日に100件以上出荷されている,出荷データにおいて、同じ配送業者で1日に100件以上出荷されているケースを抽出して内容を確認する,同じ配送業者で1日に100件以上出荷されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「配送業者コード」を用いて「同じ配送業者で1日に100件以上出荷されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",同一伝票に対して複数の出荷データが存在している,出荷データにおいて、同一伝票に対して複数の出荷データが存在しているケースを抽出して内容を確認する,同一伝票に対して複数の出荷データが存在している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「同一伝票に対して複数の出荷データが存在している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",同一伝票に対して複数の納品データが存在している,出荷データにおいて、同一伝票に対して複数の納品データが存在しているケースを抽出して内容を確認する,同一伝票に対して複数の納品データが存在している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「同一伝票に対して複数の納品データが存在している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",同一伝票に対して複数の配送データが存在している,出荷データにおいて、同一伝票に対して複数の配送データが存在しているケースを抽出して内容を確認する,同一伝票に対して複数の配送データが存在している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「同一伝票に対して複数の配送データが存在している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",得意先コードが定義より短い/長い形式で入力されている,出荷データにおいて、得意先コードが定義より短い/長い形式で入力されているケースを抽出して内容を確認する,得意先コードが定義より短い/長い形式で入力されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「得意先コードが定義より短い/長い形式で入力されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",得意先コードが得意先マスタに存在しない,出荷データにおいて、得意先コードが得意先マスタに存在しないケースを抽出して内容を確認する,得意先コードが得意先マスタに存在しない場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「得意先コードが得意先マスタに存在しない」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",得意先マスタに登録されていないコードで出荷されている,出荷データにおいて、得意先マスタに登録されていないコードで出荷されているケースを抽出して内容を確認する,得意先マスタに登録されていないコードで出荷されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「得意先マスタに登録されていないコードで出荷されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",得意先マスタに登録されていないコードで納品されている,出荷データにおいて、得意先マスタに登録されていないコードで納品されているケースを抽出して内容を確認する,得意先マスタに登録されていないコードで納品されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「得意先マスタに登録されていないコードで納品されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",得意先マスタに登録されていないコードで配送されている,出荷データにおいて、得意先マスタに登録されていないコードで配送されているケースを抽出して内容を確認する,得意先マスタに登録されていないコードで配送されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「得意先マスタに登録されていないコードで配送されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",月初に全出荷件数の50%以上が集中している,出荷データにおいて、月初に全出荷件数の50%以上が集中しているケースを抽出して内容を確認する,月初に全出荷件数の50%以上が集中している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「月初に全出荷件数の50%以上が集中している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",月初に全配送件数の50%以上が集中している,出荷データにおいて、月初に全配送件数の50%以上が集中しているケースを抽出して内容を確認する,月初に全配送件数の50%以上が集中している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「月初に全配送件数の50%以上が集中している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録件数が月末に集中している,出荷データにおいて、登録件数が月末に集中しているケースを抽出して内容を確認する,登録件数が月末に集中している場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録件数が月末に集中している」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録先が同一でも配送業者が日ごとに異なっている,出荷データにおいて、登録先が同一でも配送業者が日ごとに異なっているケースを抽出して内容を確認する,登録先が同一でも配送業者が日ごとに異なっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「配送業者コード」を用いて「登録先が同一でも配送業者が日ごとに異なっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録先が登録元と同一のコードになっている,出荷データにおいて、登録先が登録元と同一のコードになっているケースを抽出して内容を確認する,登録先が登録元と同一のコードになっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録先が登録元と同一のコードになっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録先コードがNULLになっている,出荷データにおいて、登録先コードがNULLになっているケースを抽出して内容を確認する,登録先コードがNULLになっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録先コードがNULLになっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録日がNULLで登録されている,出荷データにおいて、登録日がNULLで登録されているケースを抽出して内容を確認する,登録日がNULLで登録されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録日がNULLで登録されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録日が営業日でない（休日）,出荷データにおいて、登録日が営業日でない（休日）ケースを抽出して内容を確認する,登録日が営業日でない（休日）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録日が営業日でない（休日）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録日が売上日より過去になっている,出荷データにおいて、登録日が売上日より過去になっているケースを抽出して内容を確認する,登録日が売上日より過去になっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録日が売上日より過去になっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録日と売上日が大きく乖離している（例：1ヶ月以上）,出荷データにおいて、登録日と売上日が大きく乖離している（例：1ヶ月以上）ケースを抽出して内容を確認する,登録日と売上日が大きく乖離している（例：1ヶ月以上）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録日と売上日が大きく乖離している（例：1ヶ月以上）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",登録番号が連番になっていない（欠番あり）,出荷データにおいて、登録番号が連番になっていない（欠番あり）ケースを抽出して内容を確認する,登録番号が連番になっていない（欠番あり）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「登録番号が連番になっていない（欠番あり）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品ステータスが「納品済」でも納品日が未記入,出荷データにおいて、納品ステータスが「納品済」でも納品日が未記入ケースを抽出して内容を確認する,納品ステータスが「納品済」でも納品日が未記入場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷ステータス」を用いて「納品ステータスが「納品済」でも納品日が未記入」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品データが売上伝票より先に登録されている,出荷データにおいて、納品データが売上伝票より先に登録されているケースを抽出して内容を確認する,納品データが売上伝票より先に登録されている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品データが売上伝票より先に登録されている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品データに紐づく売上明細が存在しない,出荷データにおいて、納品データに紐づく売上明細が存在しないケースを抽出して内容を確認する,納品データに紐づく売上明細が存在しない場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品データに紐づく売上明細が存在しない」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品先が納品元と同一のコードになっている,出荷データにおいて、納品先が納品元と同一のコードになっているケースを抽出して内容を確認する,納品先が納品元と同一のコードになっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品先が納品元と同一のコードになっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品先コードがNULLになっている,出荷データにおいて、納品先コードがNULLになっているケースを抽出して内容を確認する,納品先コードがNULLになっている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品先コードがNULLになっている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品先コードが数字以外の文字列を含んでいる,出荷データにおいて、納品先コードが数字以外の文字列を含んでいるケースを抽出して内容を確認する,納品先コードが数字以外の文字列を含んでいる場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品先コードが数字以外の文字列を含んでいる」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品先コードが納品先マスタに存在しない,出荷データにおいて、納品先コードが納品先マスタに存在しないケースを抽出して内容を確認する,納品先コードが納品先マスタに存在しない場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品先コードが納品先マスタに存在しない」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品先コードと得意先コードが一致していない,出荷データにおいて、納品先コードと得意先コードが一致していないケースを抽出して内容を確認する,納品先コードと得意先コードが一致していない場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「納品先コードと得意先コードが一致していない」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品先住所がマスタと一致していない,出荷データにおいて、納品先住所がマスタと一致していないケースを抽出して内容を確認する,納品先住所がマスタと一致していない場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品先住所がマスタと一致していない」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品日が1年超過している（過去日付）,出荷データにおいて、納品日が1年超過している（過去日付）ケースを抽出して内容を確認する,納品日が1年超過している（過去日付）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品日が1年超過している（過去日付）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品番号が連番になっていない（欠番あり）,出荷データにおいて、納品番号が連番になっていない（欠番あり）ケースを抽出して内容を確認する,納品番号が連番になっていない（欠番あり）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品番号が連番になっていない（欠番あり）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",納品番号の形式が不統一（桁数やプレフィックス）,出荷データにおいて、納品番号の形式が不統一（桁数やプレフィックス）ケースを抽出して内容を確認する,納品番号の形式が不統一（桁数やプレフィックス）場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「出荷日、得意先コード、出荷先コード」を用いて「納品番号の形式が不統一（桁数やプレフィックス）」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",複数の得意先に対して同一出荷番号が付けられている,出荷データにおいて、複数の得意先に対して同一出荷番号が付けられているケースを抽出して内容を確認する,複数の得意先に対して同一出荷番号が付けられている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「複数の得意先に対して同一出荷番号が付けられている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",複数の得意先に対して同一登録番号が付けられている,出荷データにおいて、複数の得意先に対して同一登録番号が付けられているケースを抽出して内容を確認する,複数の得意先に対して同一登録番号が付けられている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「複数の得意先に対して同一登録番号が付けられている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",複数の得意先に対して同一納品番号が付けられている,出荷データにおいて、複数の得意先に対して同一納品番号が付けられているケースを抽出して内容を確認する,複数の得意先に対して同一納品番号が付けられている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「複数の得意先に対して同一納品番号が付けられている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
出荷データ,shipment,"出荷番号,出荷日,得意先コード,出荷先コード,出荷担当者コード,配送業者コード,出荷ステータス,備考","shipmentNumber,shipmentDate,customerCode,deliveryCode,shipmentStaffCode,carrierCode,shipmentStatus,remarks",複数の得意先に対して同一配送番号が付けられている,出荷データにおいて、複数の得意先に対して同一配送番号が付けられているケースを抽出して内容を確認する,複数の得意先に対して同一配送番号が付けられている場合、不正処理、業務逸脱、入力ミス、出荷運用上の不整合などが想定される,「得意先コード」を用いて「複数の得意先に対して同一配送番号が付けられている」に該当するデータを抽出し、得意先マスタ・配送業者マスタ・売上伝票との整合性を確認・分析する,
